,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,name_sofascore,birth_ts,height,weight,preferred_foot,nationality,position_current,detailed_positions_current,market_value_current,contract_until_ts_current,popularity_score_current
17,ESP-La Liga,2425,Alaves,Joan Jordán,4,2024,158,2122,M S,25,1397,5,4.2784636076539755,2,1.3053531553596258,2,2.1695005875080824,17,30,4,0,4.523949593305588,3.4168765898793936,Joan Jordán,773452800.0,184.0,74.0,Right,Spain,M,"['MC', 'DM']",1900000.0,1814313600.0,734.0
18,ESP-La Liga,2425,Alaves,Jon Guridi,4,2024,158,5179,F M S,33,2149,3,4.341560154221952,2,3.598282544873655,1,1.142053421586752,24,17,6,0,5.9514668844640255,2.387185577303171,Jon Guridi,793929600.0,179.0,64.0,Left,Spain,M,"['AM', 'MC']",2400000.0,1782777600.0,318.0
19,ESP-La Liga,2425,Alaves,Kike García,4,2024,158,5074,F S,35,2571,13,10.712679820135236,10,8.482846969738603,0,0.7632435280829668,63,13,3,1,9.772033462300897,2.0982022918760777,Kike García,627955200.0,186.0,79.0,Right,Spain,F,['ST'],825000.0,1814313600.0,1090.0
20,ESP-La Liga,2425,Alaves,Luis Rioja,4,2024,158,7870,D M S,37,2898,4,3.9541624961420894,2,2.467607277445495,3,4.479461559094489,30,35,6,0,9.84668375365436,5.419024623930454,Luis Rioja,750729600.0,173.0,,Left,Spain,M,"['LW', 'MR']",2100000.0,1814313600.0,847.0
21,ESP-La Liga,2425,Alaves,Luka Romero,4,2024,158,8429,F M S,6,201,0,0.7706899177283049,0,0.027412308380007744,0,0.2663516765460372,2,4,0,0,0.5439141355454922,0.310863196849823,Luka Romero,1100736000.0,169.0,,Left,Argentina,F,['RW'],3400000.0,1909008000.0,4684.0
22,ESP-La Liga,2425,Alaves,Manuel Sánchez,4,2024,158,7605,D S,33,2651,1,1.6078453846275806,1,1.6078453846275806,0,1.1835778756067157,12,16,6,1,4.670513411983848,2.4904603492468596,Manuel Sánchez,966988800.0,179.0,,Left,Spain,D,['DL'],6400000.0,1782777600.0,667.0
23,ESP-La Liga,2425,Alaves,Moussa Diarra,4,2024,158,7613,D S,26,1855,0,0.02481282502412796,0,0.02481282502412796,0,0.1712627625092864,1,4,6,0,3.680759072303772,3.5504128839820623,Moussa Diarra,973814400.0,183.0,,Left,Mali,D,"['DL', 'DC']",1400000.0,1782777600.0,805.0
24,ESP-La Liga,2425,Alaves,Nahuel Tenaglia,4,2024,158,10364,D S,34,2930,2,2.742606063839048,2,2.742606063839048,1,1.9290947634726763,27,19,11,0,5.448577670380473,3.4270298033952713,Nahuel Tenaglia,824860800.0,182.0,71.0,Right,Argentina,D,"['DR', 'DC']",3200000.0,1877472000.0,1017.0
25,ESP-La Liga,2425,Alaves,Pau Cabanes De La Torre,4,2024,158,13036,M S,16,311,1,0.6065235398709774,1,0.6065235398709774,0,0.6184967579320073,6,5,1,0,2.472264508716762,1.2864057002589107,,,,,,,,,,,
26,ESP-La Liga,2425,Alaves,Santiago Mouriño,4,2024,158,13003,D S,25,1827,0,1.0117421904578805,0,1.0117421904578805,1,0.9486839417368174,13,7,7,0,2.93726375233382,2.229820301756263,Santiago Mouriño,1013558400.0,186.0,76.0,Right,Uruguay,D,"['DC', 'DR']",9700000.0,1909008000.0,2655.0
27,ESP-La Liga,2425,Alaves,Stoichkov,4,2024,158,12717,F M S,16,675,0,1.194492194801569,0,1.194492194801569,1,1.0295014828443527,18,7,1,0,4.282519616186619,2.84641638956964,Stoichkov,752457600.0,178.0,,Right,Spain,F,"['LW', 'ST', 'AM']",870000.0,1782777600.0,372.0
28,ESP-La Liga,2425,Alaves,Tomás Conechny,4,2024,158,12716,F M S,22,837,1,3.4765042532235384,1,3.4765042532235384,0,0.3463271465152502,22,7,8,0,4.250398634001613,1.1427953317761421,Tomás Conechny,891216000.0,170.0,65.0,Left,Argentina,F,['LW'],2000000.0,1893369600.0,501.0
29,ESP-La Liga,2425,Athletic Club,Adama Boiro,4,2024,147,12724,D M S,18,1120,0,0.3871587850153446,0,0.3871587850153446,0,0.4125944208353758,5,5,3,0,1.2153034526854753,0.7109720725566149,Adama Boiro,1024704000.0,182.0,,Left,Spain,D,['DL'],2800000.0,1877472000.0,2320.0
30,ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,4,2024,147,12262,M,1,56,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Aingeru Olabarrieta,1131926400.0,182.0,,Left,Spain,M,['RW'],855000.0,1782777600.0,207.0
31,ESP-La Liga,2425,Athletic Club,Aitor Paredes,4,2024,147,8948,D S,23,1828,3,2.492131467908621,3,2.492131467908621,0,0.0571863129734993,6,2,2,1,6.065372170880437,6.008185857906938,Aitor Paredes,956966400.0,186.0,,Right,Spain,D,['DC'],17100000.0,1877472000.0,1119.0
32,ESP-La Liga,2425,Athletic Club,Alex Berenguer,4,2024,147,5091,F M S,36,2381,6,7.480133118107915,6,6.736855478957295,7,6.045956780202687,52,48,4,0,15.5762422606349,6.666818654164672,Álex Berenguer,804816000.0,175.0,70.0,Right,Spain,M,"['LW', 'RW']",5200000.0,1814313600.0,1946.0
33,ESP-La Liga,2425,Athletic Club,Ander Herrera,4,2024,147,552,M S,8,254,0,1.9449006617069244,0,1.2016230076551437,0,0.10741335712373257,8,2,2,0,1.8970924727618694,0.7111891284584999,Ander Herrera,619056000.0,182.0,,Right,Spain,M,"['MC', 'DM']",460000.0,,3043.0
34,ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,4,2024,147,6325,D S,20,1508,0,0.285134494304657,0,0.285134494304657,2,2.3711024783551693,2,15,5,0,5.064692297950387,3.415458796545863,Andoni Gorosabel,839116800.0,174.0,,Right,Spain,D,['DR'],3900000.0,1845936000.0,529.0
35,ESP-La Liga,2425,Athletic Club,Beñat Prados,4,2024,147,9505,M S,30,1736,1,0.9114043265581131,1,0.9114043265581131,0,1.089272540062666,16,10,7,0,8.186401395127177,6.995430439710617,Beñat Prados,981590400.0,179.0,,Right,Spain,M,"['MC', 'DM']",18500000.0,1940544000.0,610.0
36,ESP-La Liga,2425,Athletic Club,Dani Vivian,4,2024,147,6766,D S,32,2590,4,2.3003999516367912,4,2.3003999516367912,0,0.6736323088407516,19,10,3,0,10.329670087434351,9.05257697403431,Daniel Vivian,931132800.0,183.0,,Right,Spain,D,['DC'],27000000.0,1972166400.0,3148.0
37,ESP-La Liga,2425,Athletic Club,De Marcos,4,2024,147,2452,D S,26,1554,0,1.15881422534585,0,1.15881422534585,4,2.8564788848161697,8,19,0,0,10.773434953764081,8.131631192751229,Óscar de Marcos,608515200.0,180.0,78.0,Right,Spain,D,['DR'],,,538.0
38,ESP-La Liga,2425,Athletic Club,Endika Bujan,4,2024,147,13431,S,1,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Endika Buján,1042675200.0,170.0,,Left,Spain,M,['RW'],285000.0,1782777600.0,43.0
39,ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,4,2024,147,7020,F M S,36,1856,7,6.789272961206734,7,6.789272961206734,2,1.4514029724523425,59,15,2,0,9.18936501443386,2.057082111015916,Gorka Guruzeta,842486400.0,188.0,,Right,Spain,F,['ST'],4600000.0,1845936000.0,2643.0
40,ESP-La Liga,2425,Athletic Club,Inigo Ruiz de Galarreta,4,2024,147,9755,M S,26,1502,0,0.3707461981102824,0,0.3707461981102824,4,3.4690806306898594,11,28,5,0,8.672065565362573,7.616073386743665,Iñigo Ruiz de Galarreta,744595200.0,174.0,64.0,Right,Spain,M,"['MC', 'DM']",2300000.0,1814313600.0,962.0
41,ESP-La Liga,2425,Athletic Club,Iñaki Williams,4,2024,147,2399,F M S,35,2659,6,10.159808551892638,6,10.159808551892638,8,8.788650624454021,63,43,1,0,21.108271526172757,8.164707442745566,Iñaki Williams,771638400.0,186.0,76.0,Right,Ghana,M,['RW'],9100000.0,1845936000.0,19961.0
42,ESP-La Liga,2425,Athletic Club,Javier Martón,4,2024,147,11761,S,3,43,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4475967586040497,0.4475967586040497,Javier Martón,925948800.0,180.0,,Right,Spain,F,['ST'],720000.0,1845936000.0,259.0
43,ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,4,2024,147,9824,GK,14,1212,0,0.0,0,0.0,0,0.0,0,0,1,1,3.1538388207554817,3.1538388207554817,Julen Agirrezabala,977788800.0,187.0,,Left,Spain,G,['GK'],16300000.0,1782777600.0,1082.0
44,ESP-La Liga,2425,Athletic Club,Malcom Adu,4,2024,147,10981,S,1,12,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,Jackson Malcolm,,198.0,108.0,,,TE,[],,,0.0
45,ESP-La Liga,2425,Athletic Club,Maroan Sannadi,4,2024,147,13417,F S,16,743,1,3.2526460140943527,1,3.2526460140943527,1,1.2053465899080038,19,7,0,0,5.1390815153717995,1.504334181547165,Maroan Sannadi,980985600.0,192.0,85.0,Right,Morocco,F,['ST'],4700000.0,1877472000.0,5294.0
46,ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,4,2024,147,12263,M S,34,2244,2,1.0411129482090473,2,1.0411129482090473,1,1.5972765255719423,21,24,4,1,10.448270935565233,8.638248216360807,Mikel Jauregizar,1068681600.0,177.0,,Right,Spain,M,"['MC', 'DM']",31000000.0,1940544000.0,1786.0
47,ESP-La Liga,2425,Athletic Club,Mikel Vesga,4,2024,147,5077,M S,25,977,0,1.2418696712702513,0,0.49859206192195415,0,1.0357172600924969,6,12,1,0,4.317991346120834,2.9510606825351715,Mikel Vesga,734227200.0,191.0,84.0,Left,Spain,M,"['MC', 'DM']",1400000.0,1814313600.0,501.0
48,ESP-La Liga,2425,Athletic Club,Nico Williams,4,2024,147,9211,M S,29,1994,5,4.596975972875953,5,4.596975972875953,5,4.1709328312426805,55,40,1,0,13.329007916152477,6.340902808122337,Nico Williams,1026432000.0,180.0,,Right,Spain,M,['LW'],65000000.0,2066774400.0,84009.0
49,ESP-La Liga,2425,Athletic Club,Nicolás Serrano,4,2024,147,9825,M S,4,107,0,0.18871727026998997,0,0.18871727026998997,0,0.015419985167682171,5,1,0,0,1.5473762713372707,1.3515974879264832,Nicolas Serrano Iniguez,,,,,,,[],,,0.0
50,ESP-La Liga,2425,Athletic Club,Oihan Sancet,4,2024,147,7779,F M S,29,1645,15,10.459016836248338,12,8.229184023104608,1,1.8577970825135708,50,21,3,0,12.246665179729462,4.23063094355166,Oihan Sancet,956620800.0,188.0,,Right,Spain,M,['AM'],39000000.0,1972166400.0,3386.0
51,ESP-La Liga,2425,Athletic Club,Peio Canales,4,2024,147,13123,M S,8,247,0,0.19718201272189617,0,0.19718201272189617,0,0.48876582086086273,3,6,0,0,0.7809601724147797,0.5443078130483627,Peio Canales,1105920000.0,175.0,,Right,Spain,M,"['AM', 'MC']",4900000.0,1782777600.0,412.0
52,ESP-La Liga,2425,Athletic Club,Unai Gómez,4,2024,147,11531,D F M S,32,1267,1,2.785275062546134,1,2.785275062546134,3,1.0150505416095257,19,10,1,0,4.806635640561581,1.6319821402430534,Unai Gómez,1053820800.0,183.0,,Left,Spain,M,"['AM', 'MC']",5200000.0,1845936000.0,813.0
53,ESP-La Liga,2425,Athletic Club,Unai Núñez,4,2024,147,6149,D S,10,643,0,0.494532972574234,0,0.494532972574234,0,0.02594449184834957,1,1,4,0,2.744684349745512,2.7187398560345173,Unai Núñez,854582400.0,186.0,81.0,Right,Spain,D,"['DC', 'DR']",3300000.0,1782777600.0,795.0
54,ESP-La Liga,2425,Athletic Club,Unai Simón,4,2024,147,5185,GK,21,1890,0,0.0,0,0.0,0,0.0,0,0,0,0,1.3606118559837341,1.3606118559837341,Unai Simón,865987200.0,189.0,86.0,Right,Spain,G,['GK'],24000000.0,1877472000.0,6870.0
55,ESP-La Liga,2425,Athletic Club,Yeray Álvarez,4,2024,147,5062,D S,21,1784,1,0.6109129982069135,1,0.6109129982069135,0,0.4750778339803219,9,4,4,0,4.334911390207708,4.297147526405752,Yeray Álvarez,790905600.0,183.0,78.0,Right,Spain,D,['DC'],1000000.0,1782777600.0,814.0
56,ESP-La Liga,2425,Athletic Club,Yuri,4,2024,147,2229,D S,30,2027,0,0.5942616164684296,0,0.5942616164684296,2,1.9303123988211155,16,18,5,0,9.699211686849594,8.040501814335585,Yuri Alberto,984873600.0,183.0,77.0,Right,Brazil,F,['ST'],23000000.0,1909008000.0,44725.0
57,ESP-La Liga,2425,Athletic Club,Álex Padilla,4,2024,147,12227,GK S,5,315,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5064679756760597,0.5064679756760597,Alex Padilla,1062374400.0,190.0,,Right,Mexico,G,['GK'],3100000.0,1877472000.0,1480.0
58,ESP-La Liga,2425,Athletic Club,Álvaro Djaló,4,2024,147,13001,F M S,17,637,1,0.9031668566167355,1,0.9031668566167355,0,1.0898361578583717,15,4,2,0,3.104129819199443,1.2030200082808733,Álvaro Djaló,934761600.0,176.0,,Right,Guinea-Bissau,F,['RW'],4900000.0,1782777600.0,1139.0
59,ESP-La Liga,2425,Athletic Club,Íñigo Lekue,4,2024,147,2403,D S,16,757,0,0.13944076001644135,0,0.13944076001644135,0,0.5742262145504355,2,8,1,0,2.311507798731327,1.7286586463451385,Íñigo Lekue,736473600.0,180.0,73.0,Right,Spain,D,"['DR', 'DL']",1100000.0,1782777600.0,393.0
60,ESP-La Liga,2425,Atletico Madrid,Adrián Niño,4,2024,143,12115,S,1,10,0,0.15880247950553894,0,0.15880247950553894,0,0.0,2,0,0,0,0.15880247950553894,0.0,Adrián Niño,1087603200.0,186.0,,Right,Spain,F,['ST'],930000.0,1877472000.0,360.0
61,ESP-La Liga,2425,Atletico Madrid,Alexander Sørloth,4,2024,143,6531,F S,35,1525,20,20.454832896590233,19,19.711555287241936,2,1.304560586810112,79,13,4,0,21.53670882433653,2.1480457819998264,Alexander Sørloth,818121600.0,195.0,90.0,Left,Norway,F,['ST'],21000000.0,1845936000.0,23117.0
62,ESP-La Liga,2425,Atletico Madrid,Antoine Griezmann,4,2024,143,2270,F M S,38,2514,8,8.413829022087157,7,6.927273713983595,7,8.116289479658008,50,48,2,0,19.78995059709996,9.18062005378306,Antoine Griezmann,669513600.0,176.0,71.0,Left,France,F,['ST'],10400000.0,1814313600.0,97180.0
63,ESP-La Liga,2425,Atletico Madrid,Axel Witsel,4,2024,143,3059,D S,14,845,0,0.061065591871738434,0,0.061065591871738434,1,0.8424561601132154,1,2,1,0,3.891527419909835,3.0490712728351355,Axel Witsel,600566400.0,186.0,73.0,Right,Belgium,M,['DC'],1500000.0,1782777600.0,9723.0
64,ESP-La Liga,2425,Atletico Madrid,Clement Lenglet,4,2024,143,5050,D,23,1987,2,2.1961113438010216,2,2.1961113438010216,1,0.9537689723074436,10,5,9,0,11.544151531532407,11.482247652485967,Clément Lenglet,803347200.0,186.0,81.0,Left,France,D,['DC'],6200000.0,1845936000.0,7949.0
65,ESP-La Liga,2425,Atletico Madrid,Conor Gallagher,4,2024,143,9040,M S,32,1637,3,3.0007524248212576,3,3.0007524248212576,3,1.3112464919686317,23,12,2,0,7.897032497450709,4.44360277056694,Conor Gallagher,949795200.0,182.0,,Right,England,M,"['MC', 'DM', 'AM']",34000000.0,1940544000.0,16208.0
66,ESP-La Liga,2425,Atletico Madrid,César Azpilicueta,4,2024,143,681,D S,14,881,1,0.18247812055051327,1,0.18247812055051327,0,0.08769189566373825,5,3,0,0,3.8849698714911938,3.7627249024808407,César Azpilicueta,620265600.0,178.0,78.0,Right,Spain,D,"['DR', 'DC']",1100000.0,1782777600.0,4594.0
67,ESP-La Liga,2425,Atletico Madrid,Giménez,4,2024,143,2278,D S,27,1984,0,0.4644579738378525,0,0.4644579738378525,1,0.36444729566574097,5,2,3,0,8.44221980124712,8.077772490680218,Santiago Giménez,987552000.0,182.0,,Left,Mexico,F,['ST'],21000000.0,1877472000.0,32303.0
68,ESP-La Liga,2425,Atletico Madrid,Giuliano Simeone,4,2024,143,9796,F M S,33,1988,2,3.001487374305725,2,3.001487374305725,6,7.1847349517047405,22,24,4,0,16.635959770530462,8.725617446005344,Giuliano Simeone,1040169600.0,178.0,,Right,Argentina,M,['MR'],44000000.0,1909008000.0,16473.0
69,ESP-La Liga,2425,Atletico Madrid,Jan Oblak,4,2024,143,2261,GK,36,3240,0,0.0,0,0.0,0,0.0,0,0,0,0,5.667950822040439,5.667950822040439,Jan Oblak,726364800.0,189.0,84.0,Right,Slovenia,G,['GK'],18100000.0,1845936000.0,12537.0
70,ESP-La Liga,2425,Atletico Madrid,Javi Galán,4,2024,143,7385,D S,25,1806,0,0.24462206475436687,0,0.24462206475436687,2,3.3247619457542896,9,14,8,0,9.763243904337287,7.868124481290579,Javi Galán,785203200.0,172.0,70.0,Left,Spain,D,['DL'],3400000.0,1782777600.0,2469.0
71,ESP-La Liga,2425,Atletico Madrid,Juan Musso,4,2024,143,7095,GK,2,180,0,0.0,0,0.0,0,0.0,0,0,0,0,0.09412210062146187,0.09412210062146187,Juan Musso,768182400.0,191.0,93.0,Right,Argentina,G,['GK'],3200000.0,1845936000.0,7010.0
72,ESP-La Liga,2425,Atletico Madrid,Julián Álvarez,4,2024,143,10846,F M S,37,2543,17,14.1592972795479,13,11.186186812352389,4,6.458727004006505,72,41,5,0,25.16218076646328,9.433768885210156,Julián Alvarez,949276800.0,170.0,68.0,Right,Argentina,F,['ST'],97000000.0,1909008000.0,223437.0
73,ESP-La Liga,2425,Atletico Madrid,Koke,4,2024,143,2269,M S,32,1915,1,1.498866917565465,1,1.498866917565465,1,1.3334013875573874,11,16,4,0,11.016456995159388,9.087679360061884,Koke,694828800.0,177.0,73.0,Right,Spain,M,"['MC', 'DM']",6400000.0,1782777600.0,5933.0
74,ESP-La Liga,2425,Atletico Madrid,Marcos Llorente,4,2024,143,2518,D M S,33,2515,2,0.6808289606124163,2,0.6808289606124163,4,3.794648887589574,16,28,0,1,14.097333351150155,11.85494233854115,Marcos Llorente,791424000.0,184.0,71.0,Right,Spain,D,['DR'],23000000.0,1814313600.0,9464.0
75,ESP-La Liga,2425,Atletico Madrid,Nahuel Molina,4,2024,143,8963,D S,30,1565,0,0.9986370727419853,0,0.9986370727419853,3,1.9341567233204842,9,13,1,0,9.530625693500042,7.783950371667743,Nahuel Molina,891820800.0,175.0,69.0,Right,Argentina,D,"['DR', 'MR']",14600000.0,1814313600.0,13454.0
76,ESP-La Liga,2425,Atletico Madrid,Pablo Barrios Rivas,4,2024,143,10494,M S,31,2347,1,1.3707369193434715,1,1.3707369193434715,4,2.9307284597307444,29,26,4,1,17.51480458304286,14.883386809378862,,,,,,,,,,,
77,ESP-La Liga,2425,Atletico Madrid,Reinildo,4,2024,143,7432,D S,19,916,0,0.05156291276216507,0,0.05156291276216507,0,0.18367374688386917,1,2,4,0,3.498327238485217,3.402019379660487,Reinildo Mandava,759110400.0,180.0,74.0,Left,Mozambique,D,"['DL', 'DC']",5200000.0,1814313600.0,12257.0
78,ESP-La Liga,2425,Atletico Madrid,Robin Le Normand,4,2024,143,7276,D S,27,2140,1,1.3955917339771986,1,1.3955917339771986,0,0.6797869801521301,10,3,8,0,7.784352958202362,7.242462515830994,Robin Le Normand,847670400.0,187.0,,Right,Spain,D,['DC'],29000000.0,1877472000.0,6615.0
79,ESP-La Liga,2425,Atletico Madrid,Rodrigo Riquelme,4,2024,143,8002,D M S,16,493,0,1.4374090656638145,0,1.4374090656638145,1,1.0267814565449953,14,15,0,0,3.355600330978632,1.17163953371346,Rodrigo Riquelme,954633600.0,174.0,,Right,Spain,M,['LW'],8600000.0,1909008000.0,4739.0
